AARDVARK,oooyyooo
AARDWOLF,oooyyoXo
AASVOGEL,yoooyoyy
ABACUSES,yoooyooX
ABALONES,yyooyoyX
ABAMPERE,yooyyooo
ABANDONS,oyooyooX
ABAPICAL,ooooyyyo
ABASEDLY,yoooyoXy
ABASHING,oyooyXoy
ABATABLE,yoyoXoXo
ABATISES,yoyoyyoX
ABATTOIR,ooyyyyoo
ABBACIES,yoooyXoX
ABBATIAL,ooyoyXyo
ABBESSES,yoooyooX
ABDICATE,yoyoyyoo
ABDOMENS,yyooyooX
ABDOMINA,oyooyXoo
ABDUCENS,yyooyooX
ABDUCENT,yyyoyooo
ABDUCING,oyooyXoo
ABDUCTED,yoyoyooo
ABDUCTEE,yoyoyooo
ABDUCTOR,ooyyyooo
ABEGGING,yyooyXoo
ABELMOSK,yoooyoyy
ABERRANT,yyyXyooo
ABETMENT,yyyoyooo
ABETTALS,yoyoyoXX
ABETTERS,yoyyyooX
ABETTING,yyyoyXoo
ABETTORS,yoyyyooX
ABEYANCE,yyooXooo
ABEYANCY,yyooXooo
ABFARADS,oooyyooX
ABHENRYS,yyoyyooX
ABHORRED,yooyyooo
ABHORRER,yooyyooo
ABIDANCE,yyooXyoo
ABIGAILS,ooooXXXX
ABJECTLY,yoyoyoXo
ABJURERS,yooyyooX
ABJURING,oyoyyXoo
ABLATING,oyyoyXyo
ABLATION,oyyoyXyo
ABLATIVE,yoyoyXyo
ABLATORS,ooyyyoyX
ABLEGATE,yoyoyoyo
ABLEISMS,yoooyyyX
ABLEISTS,yoyoyyyX
ABLUENTS,yyyoyoyX
ABLUTION,oyyoyXyo
ABNEGATE,yyyoyooo
ABNORMAL,oyoyyoyo
ABOIDEAU,yoooyyoo
ABOITEAU,yoyoyyoo
ABOMASAL,ooooXoyy
ABOMASUM,ooooXooy
ABOMASUS,ooooXooX
ABORALLY,oooXXoXo
ABORNING,oyoXyXoo
ABORTERS,yoyXyooX
ABORTING,oyyXyXoo
ABORTION,oyyXyXoo
ABORTIVE,yoyXyXoo
ABOULIAS,ooooyXyX
ABOUNDED,yyooyooo
ABRACHIA,oooyyyoo
ABRADANT,oyyyyooo
ABRADERS,yooyyooX
ABRADING,oyoyyXoo
ABRASION,oyoyyXoy
ABRASIVE,yooyyXoy
ABREACTS,yoyyXooX
ABRIDGED,yooyyyoo
ABRIDGER,yooyyyoo
ABRIDGES,yooyyyoX
ABROGATE,yoyyyooo
ABROSIAS,oooyyXoX
ABRUPTER,yoyyyooo
ABRUPTLY,ooyyyoXo
ABSCISED,yoooyyoy
ABSCISES,yoooyyoX
ABSCISIN,oyooyyoy
ABSCISSA,ooooyyoy
ABSCONDS,oyooyooX
ABSEILED,yoooyyyy
ABSENCES,yyooyooX
ABSENTED,yyyoyooy
ABSENTEE,yyyoyooy
ABSENTER,yyyyyooy
ABSENTLY,yyyoyoXy
ABSINTHE,yyyoyyoy
