ABALONE,oyooyyo
ABANDON,ooooyyo
ABASERS,yyoooyX
ABASHED,oyoooyy
ABASHES,oyoooyX
ABASIAS,oooyoXX
ABASING,oooyyyy
ABATERS,yyyooyX
ABATING,ooyyyyo
ABATORS,yoyooyX
ABATTIS,ooyyoyX
ABAXIAL,oooyoXo
ABAXILE,oyoyoyo
ABBOTCY,ooyooyo
ABDOMEN,oyooyyo
ABDUCED,oyoooyo
ABDUCES,oyoooyX
ABDUCTS,ooyooyX
ABELIAN,oyoyyXo
ABELIAS,oyoyoXX
ABETTAL,oyyooXo
ABETTED,oyyooyo
ABETTER,yyyooyo
ABETTOR,yyyooyo
ABEYANT,oyyoyyo
ABFARAD,yooooXo
ABHENRY,yyooXyo
ABIDERS,yyoyoyX
ABIDING,oooyyyo
ABIGAIL,oooyoyo
ABILITY,ooyyoyo
ABIOSES,oyoyoyX
ABIOSIS,oooyoyX
ABIOTIC,ooyyoyo
ABJURED,yyoooyo
ABJURER,yyoooyo
ABJURES,yyoooyX
ABLATED,oyyooyo
ABLATES,oyyooyX
ABLATOR,yoyooyo
ABLAUTS,ooyooyX
ABLEISM,oyoyoyy
ABLEIST,oyyyoyy
ABLINGS,oooXXyX
ABLUENT,oyyoyyo
ABLUTED,oyyooyo
ABODING,oooyyyo
ABOLISH,oooyoyy
ABOLLAE,oyoooXo
ABOMASA,oooooyy
ABOMASI,oooyoyy
ABORTED,yyyooyo
ABORTER,yyyooyo
ABORTUS,yoyooyX
ABOUGHT,ooyooyo
ABOULIA,oooyoyo
ABOULIC,oooyoyo
ABOUNDS,ooooXyX
ABRADED,yyoooyo
ABRADER,yyoooyo
ABRADES,yyoooyX
ABREACT,yyyooyo
ABREAST,yyyooyy
ABRIDGE,yyoXoyo
ABROACH,yooooyo
ABROSIA,yooyoyy
ABSCESS,oyoooyX
ABSCISE,oyoyoyy
ABSCOND,ooooyyy
ABSEILS,oyoyoyX
ABSENCE,oyooXyy
ABSENTS,oyyoXyX
ABSINTH,ooyXXyy
ABSOLVE,oyoooyy
ABSORBS,yooooyX
ABSTAIN,ooyyyyy
ABSURDS,yooooyX
ABUBBLE,oyoooyo
ABULIAS,oooyoXX
ABUSERS,yyoooyX
ABUSING,oooyyyy
ABUSIVE,oyoyoyy
ABUTTAL,ooyooXo
ABUTTED,oyyooyo
ABUTTER,yyyooyo
ABVOLTS,ooyooyX
ABWATTS,ooyooyX
ABYSMAL,oooooXy
ABYSSAL,oooooXy
ABYSSES,oyoooyX
ACACIAS,oooyoXX
ACADEME,oyoooyo
ACADEMY,oyoooyo
ACAJOUS,oooooyX
ACALEPH,oyoooyo
ACANTHA,ooyoyyo
ACANTHI,ooyyyyo
ACAPNIA,oooyXyo
ACARIDS,yooyoyX
ACARINE,yyoyyyo
ACAROID,yooyoyo
ACAUDAL,oooooXo
ACCEDED,oyoooyo
ACCEDER,yyoooyo
ACCEDES,oyoooyX
ACCENTS,oyyoXyX
ACCEPTS,oyyooyX
ACCIDIA,oooXoyo
ACCIDIE,oyoXoyo
ACCLAIM,oooyoyo
ACCORDS,yooooyX
ACCOSTS,ooyooyX
ACCOUNT,ooyoyyo
ACCRETE,yyyooyo
ACCRUAL,yooooXo
ACCRUED,yyoooyo
ACCRUES,yyoooyX
ACCURST,yoyooyy
ACCUSAL,oooooXy
ACCUSED,oyoooyy
ACCUSER,yyoooyy
ACCUSES,oyoooyX
ACEDIAS,oyoyoXX
ACEQUIA,oyoyoyo
ACERATE,yyyooyo
ACERBER,yyoooyo
ACERBIC,yyoyoyo
ACEROLA,yyoooyo
ACEROSE,yyoooyy
ACEROUS,yyoooyX
ACETALS,oyyooyX
ACETATE,oyyooyo
ACETIFY,oyyyoyo
ACETINS,oyyyyyX
ACETONE,oyyoyyo
ACETOSE,oyyooyy
ACETOUS,oyyooyX
ACETYLS,oyyooyX
ACHENES,oyooXyX
ACHIEST,oyyXoyy
ACHIEVE,oyoXoyo
ACHIOTE,oyyXoyo
ACHIRAL,yooXoXo
ACHOLIA,oooyoyo
ACICULA,oooyoyo
ACIDIFY,oooyoyo
ACIDITY,ooyyoyo
ACIFORM,yooyoyo
ACINOSE,oyoyyyy
ACINOUS,oooyyyX
ACLINIC,oooXXyo
ACMATIC,ooyyoyo
ACNODES,oyooyyX
ACOLYTE,oyyooyo
ACONITE,oyyyyyo
ACORNED,yyooXyo
ACQUEST,oyyooyy
